date,open,high,low,close,volume,average,barCount
2026-02-10 14:25:00,5042.0,5044.8,5040.9,5043.6,257.0,5043.08,158
2026-02-10 14:30:00,5044.1,5053.2,5044.1,5049.4,527.0,5049.59,377
2026-02-10 14:35:00,5049.6,5052.5,5047.0,5049.3,265.0,5049.58,197
2026-02-10 14:40:00,5049.2,5050.2,5046.8,5047.3,189.0,5048.6,153
2026-02-10 14:45:00,5047.8,5050.5,5047.5,5049.4,126.0,5049.42,101
2026-02-10 14:50:00,5050.0,5053.2,5049.0,5051.1,141.0,5050.83,117
2026-02-10 14:55:00,5050.5,5052.3,5049.4,5050.8,105.0,5051.17,88
2026-02-10 15:00:00,5050.5,5052.5,5044.7,5045.1,225.0,5049.26,162
2026-02-10 15:05:00,5045.7,5047.8,5042.9,5047.2,123.0,5045.42,92
2026-02-10 15:10:00,5046.8,5049.1,5045.4,5048.5,145.0,5047.78,109
2026-02-10 15:15:00,5048.7,5056.7,5046.5,5055.6,340.0,5052.15,240
2026-02-10 15:20:00,5055.5,5056.2,5051.0,5051.0,210.0,5054.7,137
2026-02-10 15:25:00,5050.3,5051.5,5045.8,5051.0,182.0,5049.02,140
2026-02-10 15:30:00,5051.1,5054.0,5050.0,5053.1,204.0,5051.84,145
2026-02-10 15:35:00,5052.9,5054.0,5050.7,5051.8,196.0,5052.75,137
2026-02-10 15:40:00,5052.0,5059.3,5052.0,5058.8,251.0,5055.81,188
2026-02-10 15:45:00,5058.8,5068.9,5056.8,5058.3,1054.0,5062.68,575
2026-02-10 15:50:00,5058.1,5060.7,5054.4,5056.9,277.0,5057.39,213
2026-02-10 15:55:00,5056.7,5059.6,5050.2,5052.9,647.0,5054.27,444
2026-02-10 16:00:00,5052.0,5055.0,5048.6,5051.0,261.0,5052.3,194
2026-02-10 16:05:00,5050.6,5051.1,5048.8,5049.0,100.0,5049.89,73
2026-02-10 16:10:00,5049.5,5052.4,5048.4,5052.0,51.0,5050.29,45
2026-02-10 16:15:00,5051.0,5051.7,5050.2,5050.6,34.0,5051.02,27
2026-02-10 16:20:00,5050.6,5051.0,5046.9,5047.5,77.0,5049.42,53
2026-02-10 16:25:00,5047.6,5048.4,5045.2,5048.4,81.0,5046.33,68
2026-02-10 16:30:00,5048.0,5050.8,5047.9,5048.8,64.0,5049.6,53
2026-02-10 16:35:00,5048.8,5049.6,5047.5,5047.5,25.0,5048.62,20
2026-02-10 16:40:00,5047.7,5048.6,5046.0,5046.8,51.0,5047.46,40
2026-02-10 16:45:00,5047.3,5047.8,5043.0,5046.0,90.0,5045.18,72
2026-02-10 16:50:00,5046.2,5050.4,5046.2,5049.1,98.0,5048.36,76
2026-02-10 16:55:00,5048.7,5049.6,5044.2,5047.9,83.0,5046.63,51
